"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"manners",56,0.000286368843069874,4.30769230769231,1.67982964691322e-07,"manners",7.2421283207845,0.457471612209909,FALSE
"compose",19,9.71608574701358e-05,6.33333333333333,0.000855178333965934,"compose",7.682478902488,0.456879796276218,FALSE
"starting",10,5.11372934053346e-05,10,0.0117176513696851,"starting",8.00342711758964,0.456713781023471,FALSE
"rooms",20,0.000102274586810669,6.66666666666667,0.000488108533356322,"rooms",7.68137168383108,0.456644219050678,FALSE
"ridicules",6,3.06823760432008e-05,Inf,0.0312488014758149,"ridicules",8.26852771289277,0.456592577536203,FALSE
"wry",6,3.06823760432008e-05,Inf,0.0312488014758149,"wry",8.31297625126405,0.456328388231501,FALSE
"surprised",33,0.000168753068237604,4.71428571428571,4.22412665501166e-05,"surprised",7.42830121285604,0.456276442088796,FALSE
"lonely",18,9.20471281296024e-05,9,0.000402325484047021,"lonely",7.88102607055034,0.456253906030235,FALSE
"confused",15,7.6705940108002e-05,7.5,0.00234937600489636,"confused",7.79617939459461,0.456090866198642,FALSE
"at",1000,0.00511372934053346,1.11482720178372,0.0188719116510731,"at",5.89889677379921,0.45593770560553,TRUE
"stools",8,4.09098347242677e-05,8,0.039060342659225,"stools",8.15000503619108,0.455893081371429,FALSE
"boards",23,0.00011761577483227,5.75,0.00031061042462072,"boards",7.61692312560775,0.455709630658528,FALSE
"more",494,0.00252618229422353,1.34972677595628,1.40591219960579e-05,"more",6.17629702346976,0.455559710984657,TRUE
"attracted",10,5.11372934053346e-05,10,0.0117176513696851,"attracted",7.98510098002652,0.455170081243301,FALSE
"contrived",25,0.000127843233513337,6.25,0.000103659261106714,"contrived",7.56392670937059,0.455028855104597,FALSE
"thinking",53,0.000271027655048274,5.3,3.37428978871854e-08,"thinking",7.29047500404273,0.454969509245071,FALSE
"gaiety",14,7.15922107674685e-05,7,0.00418018724633724,"gaiety",7.82538903675736,0.454910396517398,FALSE
"feathers",20,0.000102274586810669,6.66666666666667,0.000488108533356322,"feathers",7.69236194401134,0.454535163880868,FALSE
"assumed",21,0.000107388316151203,7,0.000277051493456685,"assumed",7.63882323872313,0.45453503452825,FALSE
"gross",32,0.000163639338897071,5.33333333333333,2.43220234467314e-05,"gross",7.45298798455965,0.454498270854671,FALSE
"leer",8,4.09098347242677e-05,8,0.039060342659225,"leer",8.00555569831428,0.454429241080962,FALSE
"demi",15,7.6705940108002e-05,7.5,0.00234937600489636,"demi",7.77842251399941,0.454387458735547,FALSE
"idol",16,8.18196694485354e-05,5.33333333333333,0.00442414155426116,"idol",7.72214418989248,0.454362634009064,FALSE
"saw",118,0.000603420062182949,2.95,3.93534551255734e-10,"saw",6.85553005274332,0.454245973352428,FALSE
"smile",33,0.000168753068237604,4.71428571428571,4.22412665501166e-05,"smile",7.41691742236601,0.454221043660729,FALSE
"is",1647,0.00842231222385862,0.874668082846522,7.04841276561128e-05,"is",5.65106443644266,0.454122627255778,TRUE
"shaded",8,4.09098347242677e-05,8,0.039060342659225,"shaded",8.16766021000116,0.453975294246349,FALSE
