"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"own",98,0.000374812593703148,0.3828125,2.01911294138375e-17,"own",4.69955945996896,0.306213589877519,TRUE
"rome",24,9.17908392742404e-05,0.545454545454545,0.0205187895826465,"rome",5.10428642400985,0.305637916572377,FALSE
"chief",27,0.00010326469418352,0.58695652173913,0.0344034069604245,"chief",5.09418207585541,0.305583613616579,FALSE
"am",76,0.000290670991035095,0.404255319148936,3.95785836015957e-12,"am",4.76324173544273,0.30549874724091,TRUE
"believe",32,0.000122387785698987,0.463768115942029,0.000295568165503268,"believe",4.99340816349911,0.305146618296033,FALSE
"say",62,0.000237126334791788,0.413333333333333,1.33341753075351e-09,"say",4.80145719945473,0.30434433560693,FALSE
"fill",18,6.88431294556803e-05,0.545454545454545,0.0488629457118294,"fill",5.15696695914723,0.304342207463109,FALSE
"otherwise",18,6.88431294556803e-05,0.545454545454545,0.0488629457118294,"otherwise",5.15204611135139,0.303924138914137,FALSE
"brought",43,0.000164458587033014,0.462365591397849,2.16373595070832e-05,"brought",4.89820067301131,0.303196370215425,FALSE
"ready",21,8.03169843649604e-05,0.525,0.0204074435875081,"ready",5.0904481073221,0.302786797176835,FALSE
"ah",17,6.5018511152587e-05,0.515151515151515,0.0328308587448806,"ah",5.13553638397237,0.302563588694785,FALSE
"greater",30,0.000114738549092801,0.508474576271186,0.00278297918034567,"greater",4.9881621640757,0.301981332168257,FALSE
"heard",32,0.000122387785698987,0.507936507936508,0.00192254171344384,"heard",4.97137097461773,0.301832146699469,FALSE
"friends",30,0.000114738549092801,0.545454545454545,0.00883074857832443,"friends",4.99694631660119,0.301425304164764,FALSE
"taken",54,0.000206529388367041,0.446280991735537,4.42119673035204e-07,"taken",4.81179485735028,0.300987950486232,FALSE
"again",51,0.000195055533457761,0.408,2.33723909906289e-08,"again",4.79464156910374,0.30034456055254,TRUE
"your",140,0.000535446562433069,0.296610169491525,4.94180795921152e-43,"your",4.48168553351267,0.299724439622532,TRUE
"hall",42,0.000160633968729921,0.42,1.23899544437216e-06,"hall",4.83535699402645,0.299365959395491,FALSE
"certain",35,0.000133861640608267,0.443037974683544,4.60064748733926e-05,"certain",4.88844053724395,0.2992684093417,FALSE
"further",23,8.79662209711471e-05,0.522727272727273,0.0139278237790666,"further",5.02216693556014,0.299107964358149,TRUE
"going",19,7.26677477587737e-05,0.5,0.0163423229238908,"going",5.05001191534032,0.298583765918679,FALSE
"taking",22,8.41416026680537e-05,0.536585365853659,0.0225669051931386,"taking",5.02463346476355,0.29831225777033,FALSE
"besides",19,7.26677477587737e-05,0.527777777777778,0.0300203678736671,"besides",5.05119751068386,0.298100145475413,FALSE
"because",47,0.000179757060245388,0.353383458646617,1.03427534106606e-10,"because",4.75308797807384,0.298086004664596,TRUE
"whether",36,0.000137686258911361,0.433734939759036,1.95701516754149e-05,"whether",4.86014463205252,0.298021776216481,FALSE
"question",18,6.88431294556803e-05,0.529411764705882,0.036474159481427,"question",5.06024523838218,0.297739371177834,FALSE
"longer",20,7.6492366061867e-05,0.526315789473684,0.024738118976588,"longer",5.03716079525875,0.297702546836733,FALSE
"ii",69,0.000263898662913441,0.363157894736842,2.94633859240216e-14,"ii",4.66527941110966,0.297515649166959,FALSE
"arms",28,0.000107089312486614,0.491228070175439,0.00219311065894029,"arms",4.9371447612895,0.29732655172378,FALSE
"laid",37,0.000141510877214454,0.44047619047619,2.3115024509484e-05,"laid",4.84901849642794,0.297236649352283,FALSE
"run",17,6.5018511152587e-05,0.515151515151515,0.0328308587448806,"run",5.05545635978829,0.296860945650441,FALSE
