"Year","sublime_raw_freq","sublime_raw_prob","sublime_smoothed_avg_3","sublime_smoothed_avg_5","sublime_smoothed_avg_7","sublime_smoothed_avg_9","sublime_smoothed_avg_11","grotesque_raw_freq","grotesque_raw_prob","grotesque_smoothed_avg_3","grotesque_smoothed_avg_5","grotesque_smoothed_avg_7","grotesque_smoothed_avg_9","grotesque_smoothed_avg_11","beautiful_raw_freq","beautiful_raw_prob","beautiful_smoothed_avg_3","beautiful_smoothed_avg_5","beautiful_smoothed_avg_7","beautiful_smoothed_avg_9","beautiful_smoothed_avg_11","picturesque_raw_freq","picturesque_raw_prob","picturesque_smoothed_avg_3","picturesque_smoothed_avg_5","picturesque_smoothed_avg_7","picturesque_smoothed_avg_9","picturesque_smoothed_avg_11","arabesque_raw_freq","arabesque_raw_prob","arabesque_smoothed_avg_3","arabesque_smoothed_avg_5","arabesque_smoothed_avg_7","arabesque_smoothed_avg_9","arabesque_smoothed_avg_11","aesthetic_raw_freq","aesthetic_raw_prob","aesthetic_smoothed_avg_3","aesthetic_smoothed_avg_5","aesthetic_smoothed_avg_7","aesthetic_smoothed_avg_9","aesthetic_smoothed_avg_11"
1686,0,0,87.496804553506,52.4980827321036,37.4986305229311,29.1656015178353,23.8627648782289,0,0,0,0,0,0,0,0,0,379.050815354775,302.001704723678,272.225449124508,264.419331861629,282.503714579136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,1,87.3743993010048,29.1247997670016,52.4980827321036,37.4986305229311,29.1656015178353,64.8081948564255,0,0,0,0,0,0,0,6,524.246395806029,174.74879860201,227.430489212865,215.715503374056,232.828618937298,274.550285734451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688,0,0,29.1247997670016,17.474879860201,37.4986305229311,79.2100159356311,72.020912319857,0,0,0,0,0,0,0,0,0,174.74879860201,104.849279161206,189.575981804065,238.920853326965,260.292442598803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,0,0,0,17.474879860201,76.8248755801667,88.0255595020474,89.2723053698458,0,0,0,0,0,0,0,0,0,0,142.825164474032,166.360793161475,232.754574531067,258.834354130311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,0,0,0,90.0799459520324,88.1591458798448,89.6532605231989,89.2723053698458,0,0,0,0,0,0,0,0,0,63.2931421880439,128.055831264859,211.697874360187,206.823974180118,236.456032485883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1691,0,0,150.133243253387,105.947924371582,102.786420772541,89.6532605231989,73.3526677007991,0,0,0,0,0,0,0,2,189.879426564132,213.426385441431,191.527744943056,191.024195973576,220.901145231824,244.533153913757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,4,450.399729760162,176.579873952636,143.900989081557,102.786420772541,79.9449939341984,106.943907105562,0,0,0,0,0,0,0,4,450.399729760162,319.212908238427,267.433874363007,209.123415897198,240.624255249477,334.109792326459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693,2,79.3398920977467,239.834981802595,143.900989081557,102.786420772541,121.000953206687,109.871497173483,0,0,0,0,0,0,0,8,317.359568390987,382.429981750301,292.772782256077,309.374042463614,350.106813309446,305.474784306295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,3,189.765323549877,89.7017385492078,143.900989081557,155.572654122883,134.287385434257,123.729590299869,0,0,0,0,0,0,0,6,379.530647099753,274.52825165203,395.147774136233,450.13733139786,373.358069707694,333.190970559067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,0,0,63.2551078499589,127.721769820004,172.655209844044,151.225054810951,127.557180334355,0,0,0,0,0,0,0,1,126.694539465349,402.659857510005,502.136432692145,452.906171543588,407.233408461081,386.777231041879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,0,0,123.167877817465,135.76936941008,130.089394791199,155.903220408656,153.888560756974,0,0,0,0,0,0,0,1,701.754385964912,604.597315989994,480.516780530793,432.117359975063,451.630012766282,426.274301675807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697,3,369.503633452396,163.027174500175,128.304109578154,124.769908831428,138.041604285172,153.888560756974,0,0,0,0,0,0,0,8,985.343022539722,632.11957202962,465.58626086694,470.987259535055,449.859795789953,414.328545852526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,4,119.57789004813,213.840182630257,136.724807654024,139.03846041699,129.226060718756,112.943130778777,0,0,0,0,0,0,0,7,209.261307584228,499.827459634812,558.137126036057,478.835420945549,421.094967358515,373.383115874329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1699,1,152.439024390244,104.706801605909,194.653844583785,139.03846041699,108.14102476877,125.836371716118,0,0,0,0,0,0,0,2,304.878048780488,367.86274055855,504.679804237716,469.089931380219,378.924895458542,364.638204421375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,1,42.1034903793525,161.395899806134,120.753117893306,139.03846041699,132.714973925269,108.584978666129,0,0,0,0,0,0,0,14,589.448865310934,442.93156368821,319.30642223138,368.839304813803,389.421673563336,330.135418321398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,2,289.645184648805,110.582891676053,96.8375398836803,117.847304553575,132.714973925269,157.018165085464,0,0,0,0,0,0,0,3,434.467776973208,360.797584930728,277.454160714534,259.671093366484,311.448964011679,350.90652386168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,0,0,96.5483948829351,110.58284348733,100.764748832413,150.855131387523,157.018165085464,0,0,0,0,0,0,0,1,58.4761125080405,164.314629827083,260.711659440135,229.776620854452,241.430483774872,318.28395508733,0,0,0,0,0,0,15.5866422475938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
