"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"arabs",11,0.00112832085342086,Inf,0.000973810211788298,"arabs",10.8875305424741,0.618265212375022,FALSE
"dances",7,0.000718022361267822,Inf,0.0156081748039122,"dances",10.9563345365933,0.616972350596004,FALSE
"ponder",6,0.000615447738229562,Inf,0.0312259615393469,"ponder",11.0498269515632,0.616513128652043,FALSE
"painting",15,0.0015386193455739,Inf,6.07071117924696e-05,"painting",10.4487959168889,0.616254421352445,FALSE
"barbary",7,0.000718022361267822,Inf,0.0156081748039122,"barbary",10.9546471774512,0.610879608726182,FALSE
"gothic",10,0.0010257462303826,Inf,0.00194862033138211,"gothic",10.5791058025378,0.605191422331567,FALSE
"flourished",8,0.000820596984306083,Inf,0.00780128464110168,"flourished",10.7141642767067,0.604670747949661,FALSE
"corrupt",16,0.00164119396861217,Inf,3.03301866338808e-05,"corrupt",9.906908460542,0.585390845287891,FALSE
"architecture",6,0.000615447738229562,Inf,0.0312259615393469,"architecture",10.4918759876065,0.578632502876242,FALSE
"aer",7,0.000718022361267822,Inf,0.0156081748039122,"aer",10.3138655213973,0.576934604643861,FALSE
"nullo",6,0.000615447738229562,Inf,0.0312259615393469,"nullo",10.4631443175073,0.573551313338644,FALSE
"curious",20,0.00205149246076521,Inf,1.88883413919862e-06,"curious",9.60332256632045,0.570365194093387,FALSE
"ara",7,0.000718022361267822,Inf,0.0156081748039122,"ara",10.1771760792331,0.569857742082261,FALSE
"abounds",9,0.000923171607344343,Inf,0.0038990412359657,"abounds",10.1458505394752,0.569754214140993,FALSE
"columns",7,0.000718022361267822,Inf,0.0156081748039122,"columns",10.0041754943036,0.564107815828767,FALSE
"figures",15,0.0015386193455739,Inf,6.07071117924696e-05,"figures",9.55701104852045,0.561701793062608,FALSE
"walls",21,0.00215406708380347,21,1.08603252506877e-05,"walls",9.40772663917738,0.559584413343566,FALSE
"richly",7,0.000718022361267822,Inf,0.0156081748039122,"richly",10.0341560198366,0.557087015696937,FALSE
"adorned",11,0.00112832085342086,Inf,0.000973810211788298,"adorned",9.5831643671507,0.548782975203113,FALSE
"gilt",8,0.000820596984306083,Inf,0.00780128464110168,"gilt",9.61293345058631,0.543220491676025,FALSE
"venice",9,0.000923171607344343,Inf,0.0038990412359657,"venice",9.66347421942839,0.542408661904024,FALSE
"egypt",16,0.00164119396861217,16,0.000273170954106382,"egypt",9.23664706974992,0.54113304766001,FALSE
"language",27,0.00276951482203303,27,2.12480804403865e-07,"language",8.974459740118,0.539463519998044,FALSE
"pattern",6,0.000615447738229562,Inf,0.0312259615393469,"pattern",9.72131845660225,0.539094999630196,FALSE
"medicine",10,0.0010257462303826,Inf,0.00194862033138211,"medicine",9.35051244822277,0.53415824349088,FALSE
"ornament",7,0.000718022361267822,Inf,0.0156081748039122,"ornament",9.55628015882476,0.534013837379642,FALSE
"work",40,0.00410298492153041,13.3333333333333,2.91926262054844e-09,"work",8.57776376689713,0.533566405663638,FALSE
"altar",14,0.00143604472253564,Inf,0.000121501527084179,"altar",9.22175501274351,0.533412558528155,FALSE
"inde",11,0.00112832085342086,Inf,0.000973810211788298,"inde",9.36069206254677,0.530931003609761,FALSE
"adj",19,0.00194891783772695,19,3.97392843407349e-05,"adj",8.87792472398844,0.530247095523688,FALSE
"rooms",6,0.000615447738229562,Inf,0.0312259615393469,"rooms",9.48884528677531,0.526508953042396,FALSE
"current",10,0.0010257462303826,Inf,0.00194862033138211,"current",9.31586342765402,0.52643326176863,FALSE
"greeks",10,0.0010257462303826,Inf,0.00194862033138211,"greeks",9.2022065052956,0.523767447997713,FALSE
"style",10,0.0010257462303826,Inf,0.00194862033138211,"style",9.06852714902643,0.520868691799534,FALSE
"marble",8,0.000820596984306083,Inf,0.00780128464110168,"marble",9.19689637422917,0.518587576659767,FALSE
"palace",15,0.0015386193455739,15,0.000516360989171301,"palace",8.91029202136307,0.512274670341692,FALSE
"sed",13,0.00133347009949738,13,0.00182479419610751,"sed",8.66535146884594,0.503605014552328,FALSE
"qui",67,0.00687249974356344,7.44444444444444,3.97902379802511e-12,"qui",7.82651103701912,0.500553122565224,TRUE
"rich",15,0.0015386193455739,15,0.000516360989171301,"rich",8.38488330342097,0.493030925145047,FALSE
"tongue",11,0.00112832085342086,11,0.00633278970077918,"tongue",8.50260315547768,0.489300619099227,FALSE
"women",13,0.00133347009949738,13,0.00182479419610751,"women",8.37079380420907,0.489231820773343,FALSE
"something",13,0.00133347009949738,13,0.00182479419610751,"something",8.34957627416139,0.486775777932863,FALSE
"containing",7,0.000718022361267822,Inf,0.0156081748039122,"containing",8.60486943606959,0.480351023062459,FALSE
"wrought",7,0.000718022361267822,Inf,0.0156081748039122,"wrought",8.55022425820534,0.476798345466099,FALSE
"manner",31,0.00317981331418607,7.75,3.40291826839358e-06,"manner",7.78605958195231,0.47557366335339,FALSE
"eft",20,0.00205149246076521,10,0.000120159018263574,"eft",7.96953163754328,0.473862998455923,FALSE
"india",6,0.000615447738229562,Inf,0.0312259615393469,"india",8.55429829173469,0.473818906014692,FALSE
"gold",14,0.00143604472253564,14,0.000972623341168102,"gold",8.15585659516263,0.473482687858111,FALSE
"covered",9,0.000923171607344343,9,0.021452829377218,"covered",8.30452731394159,0.473027971992352,FALSE
"des",39,0.00400041029849215,5.57142857142857,1.78487490791474e-06,"des",7.56275918911353,0.468778223684469,TRUE
"flowers",8,0.000820596984306083,8,0.0390192318821896,"flowers",8.25077971902575,0.464617335341056,FALSE
"houses",9,0.000923171607344343,9,0.021452829377218,"houses",8.1246464357489,0.462435322124867,FALSE
"beautiful",8,0.000820596984306083,8,0.0390192318821896,"beautiful",8.19371536599307,0.462425241100051,FALSE
"see",41,0.00420555954456867,4.55555555555556,5.47054564622394e-06,"see",7.39862383552132,0.459356531714918,FALSE
"en",39,0.00400041029849215,4.33333333333333,1.48792906091014e-05,"en",7.36581058531239,0.457449645858845,TRUE
"with",160,0.0164119396861217,2.35294117647059,8.02686290440986e-10,"with",6.68954300369106,0.454029708529028,TRUE
"proper",19,0.00194891783772695,6.33333333333333,0.000850090063687762,"proper",7.68165092262499,0.453621584746983,FALSE
"aux",11,0.00112832085342086,11,0.00633278970077918,"aux",7.90345627629607,0.452900886424788,TRUE
"or",137,0.0140527233562417,2.20967741935484,9.61814352248068e-08,"or",6.66619659216798,0.448895090159998,TRUE
"done",20,0.00205149246076521,5,0.0015341537607631,"done",7.47204387855256,0.446046124964345,FALSE
"la",58,0.0059493281362191,3.05263157894737,9.40113243405761e-06,"la",6.95720341630913,0.441447066459064,TRUE
"page",8,0.000820596984306083,8,0.0390192318821896,"page",7.84096718363651,0.437934998463498,FALSE
"seen",13,0.00133347009949738,6.5,0.00736390475321369,"seen",7.5350012940139,0.436096920262984,FALSE
"called",22,0.00225664170684173,3.66666666666667,0.00369545577059434,"called",7.2212504994713,0.432254729560123,FALSE
"amp",55,0.00564160426710432,2.61904761904762,0.000117087491192089,"amp",6.79693478410861,0.429850679636998,FALSE
"religion",13,0.00133347009949738,4.33333333333333,0.0212194995281749,"religion",7.39977995691886,0.428757409794432,FALSE
"in",245,0.0251307826443738,1.28947368421053,0.00875954704202987,"in",6.10394418421905,0.427043630390555,TRUE
"et",35,0.00359011180633911,2.91666666666667,0.00107394095631045,"et",6.9104036522647,0.425447794910931,TRUE
"dun",8,0.000820596984306083,8,0.0390192318821896,"dun",7.52166481306814,0.423749605047449,FALSE
"light",13,0.00133347009949738,4.33333333333333,0.0212194995281749,"light",7.29484795103993,0.42183246340308,FALSE
"large",14,0.00143604472253564,4.66666666666667,0.0126886030524207,"large",7.29772149957135,0.419697694308122,FALSE
"used",12,0.00123089547645912,6,0.0129087040343181,"used",7.32300248766355,0.418334520974108,FALSE
"de",78,0.00800082059698431,1.95,0.000575591393592779,"de",6.46841622811533,0.417613788299944,TRUE
"sur",8,0.000820596984306083,8,0.0390192318821896,"sur",7.45049729271107,0.41759113803172,TRUE
"m",31,0.00317981331418607,2.81818181818182,0.00285793564512276,"m",6.85088181887637,0.417305925483122,TRUE
"f",39,0.00400041029849215,2.78571428571429,0.000789587161359471,"f",6.75346501697553,0.416408813963661,FALSE
"un",25,0.00256436557595651,3.125,0.00451829245491112,"un",6.93730863897974,0.415671890295133,TRUE
"few",12,0.00123089547645912,4,0.0350879011587357,"few",7.22035976379248,0.415116295726005,TRUE
"is",130,0.0133347009949738,1.38297872340426,0.0184732983858614,"is",6.16215609386415,0.412428716097683,TRUE
"after",30,0.00307723869114781,2.72727272727273,0.00428431680142972,"after",6.75563002366848,0.4107062368512,TRUE
"on",75,0.00769309672786953,1.78571428571429,0.00284448354591937,"on",6.37216826146399,0.41007522765039,TRUE
"its",29,0.00297466406810955,2.63636363636364,0.00637352924935691,"its",6.76393754403285,0.410054151268499,TRUE
"fair",13,0.00133347009949738,4.33333333333333,0.0212194995281749,"fair",7.12632297217013,0.407670517340624,FALSE
"most",18,0.00184634321468869,2.57142857142857,0.0431530414822831,"most",6.7141875319777,0.396897965609713,TRUE
"are",61,0.00625705200533388,1.525,0.0454830639686484,"are",6.17949286919485,0.391964692273433,TRUE
"it",61,0.00625705200533388,0.655913978494624,0.0118985115187255,"it",5.39561157533135,0.343263612649739,TRUE
"as",49,0.00502615652887476,0.662162162162162,0.0295312287317946,"as",5.3849205989782,0.337600017975255,TRUE
"this",35,0.00359011180633911,0.636363636363636,0.0441078213374717,"this",5.3398884970212,0.327664359015283,TRUE
"his",45,0.00461585803672171,0.548780487804878,0.00126079312775362,"his",5.19665267240307,0.3239277664181,TRUE
"was",33,0.00338496256026259,0.523809523809524,0.00281096704785863,"was",5.13175406696219,0.31333311600014,TRUE
"i",58,0.0059493281362191,0.449612403100775,1.95047829350186e-07,"i",4.93994521785205,0.311746738304284,TRUE
"at",26,0.00266694019899477,0.577777777777778,0.0316174405878354,"at",5.13073577462853,0.306964592697777,TRUE
"to",95,0.00974458918863473,0.336879432624113,4.933520467915e-23,"to",4.66403383077541,0.304068757031566,TRUE
"what",7,0.000718022361267822,0.368421052631579,0.0288542657019677,"what",4.99534152845435,0.281797163652052,TRUE
"that",34,0.00348753718330085,0.283333333333333,1.56642222795039e-12,"that",4.52362191578416,0.27696699537093,TRUE
"not",19,0.00194891783772695,0.327586206896552,9.40113243405761e-06,"not",4.67838925210745,0.2767235073167,TRUE
