"Year","sublime_raw_freq","sublime_raw_prob","sublime_smoothed_avg_3","sublime_smoothed_avg_5","sublime_smoothed_avg_7","sublime_smoothed_avg_9","sublime_smoothed_avg_11","grotesque_raw_freq","grotesque_raw_prob","grotesque_smoothed_avg_3","grotesque_smoothed_avg_5","grotesque_smoothed_avg_7","grotesque_smoothed_avg_9","grotesque_smoothed_avg_11","beautiful_raw_freq","beautiful_raw_prob","beautiful_smoothed_avg_3","beautiful_smoothed_avg_5","beautiful_smoothed_avg_7","beautiful_smoothed_avg_9","beautiful_smoothed_avg_11","picturesque_raw_freq","picturesque_raw_prob","picturesque_smoothed_avg_3","picturesque_smoothed_avg_5","picturesque_smoothed_avg_7","picturesque_smoothed_avg_9","picturesque_smoothed_avg_11","arabesque_raw_freq","arabesque_raw_prob","arabesque_smoothed_avg_3","arabesque_smoothed_avg_5","arabesque_smoothed_avg_7","arabesque_smoothed_avg_9","arabesque_smoothed_avg_11","aesthetic_raw_freq","aesthetic_raw_prob","aesthetic_smoothed_avg_3","aesthetic_smoothed_avg_5","aesthetic_smoothed_avg_7","aesthetic_smoothed_avg_9","aesthetic_smoothed_avg_11"
1677,59,11.3653547387269,14.7388689085813,14.496422294344,13.9224607747541,13.3873188306066,12.9478746711367,1,0.192633131164862,0.124427123100865,0.0746562738605191,0.068460162373179,0.072034612955999,0.0757010763071197,1181,227.499727905702,183.100158337644,169.043085406272,158.898644551472,149.170708650623,145.57180904825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,108,18.0380964597229,14.2229966784192,13.6787883190893,13.1258255539294,12.8366696752594,13.0602281581228,0,0,0.0642110437216207,0.0958442273224506,0.068460162373179,0.053246792956917,0.0711702728710436,976,163.010945784163,175.058664061578,159.82446411468,148.058199077114,145.747737340215,144.631607468953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679,99,13.2655388368079,14.0718104431418,12.4135314882087,12.3523918927861,12.7841576823775,13.1703760764228,0,0,0.0353132557698858,0.0597145796949039,0.068460162373179,0.0681980690655268,0.055798420144522,1005,134.665318494868,137.610930448209,143.273591738634,142.651634967862,142.757633093631,142.865122056158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1680,103,10.9117960328947,10.8880687475312,12.0576465966963,12.1777568149907,12.8678725569799,12.8232280832519,1,0.105939767309657,0.0353132557698858,0.0211879534619315,0.061876340493144,0.0681980690655268,0.0672963887121804,1087,115.156527065598,108.619095001101,122.454383109253,137.825608999436,139.816461258982,141.115713105146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1681,98,8.48687137289087,9.66153256231688,11.168169301297,12.8046203923997,12.3602652754787,13.0500739280819,0,0,0.0353132557698858,0.0481002504574292,0.0343573217553066,0.0621791152995834,0.0672963887121804,878,76.0354394428386,104.865217089077,114.853717861237,124.579803157438,136.914823256664,142.538166506127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1682,79,9.58593028116504,10.5545038789274,11.6657414900534,11.6912766115512,13.0413669936534,13.855465693638,0,0,0.0448538283258295,0.0481002504574292,0.0524255580759126,0.0407754340590431,0.115113889311357,1017,123.403684758796,108.148914581907,114.876471564607,120.246105088587,131.292255815403,142.171304849083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683,101,13.5907099827263,12.9766800148272,11.5323202822312,12.2955239494785,13.6674079368409,14.1711435366248,1,0.134561484977489,0.0448538283258295,0.0522078278443462,0.0524255580759126,0.11929107236223,0.109434171654888,929,125.007619544087,127.730130438199,118.380178011929,126.279148294228,130.37485329445,135.333402059849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1684,108,15.7533997805901,13.1962665857,13.3340000481128,14.1184766516951,13.8421048451492,13.764594701817,0,0,0.0870130464072436,0.0522078278443462,0.138239983421487,0.133752876467086,0.109434171654888,924,134.779087011716,130.820588619338,138.552414310233,131.935976298512,132.332350931035,132.718316440768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,81,10.2446899937836,14.4977866588909,16.1513069815619,15.0257537429367,14.137022983365,13.5169069921959,1,0.126477654244242,0.0421592180814141,0.193535976790082,0.156833731556302,0.121981791210457,0.122211109874252,1049,132.67505930221,148.116922416093,144.82254197759,142.828455981554,134.453292809776,129.43264845119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686,72,17.4952702022988,17.1374750481644,16.4007271873331,15.5943435994613,14.365256612041,13.7711010586292,0,0,0.277706132990974,0.192654927183325,0.156833731556302,0.137598049034124,0.112580221937011,728,176.896620934354,154.775334444049,150.277577513599,144.377215869478,136.951907383851,127.362467971167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,134,23.6724649484108,18.6685153874306,15.9632590865825,15.1586670349254,14.8232566656517,14.5481767659874,4,0.706640744728681,0.278932327224128,0.192654927183325,0.15768870804709,0.137598049034124,0.137161324612092,876,154.754323095581,161.311247084689,150.170760906109,140.593694593111,133.505335942356,133.601045225714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688,114,14.8378110115821,17.3587784122766,16.0225158940208,14.8664571753641,15.2059226846633,14.6579279230882,1,0.130156236943702,0.278932327224128,0.195468660417077,0.15768870804709,0.152690342861725,0.137161324612092,1170,152.282797224132,147.094041431326,143.34034316757,134.537330989343,135.68891035333,132.183112779319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,115,13.566059276837,12.9816147731315,15.2650480062932,15.836459198228,14.6547885989615,14.5785175986217,0,0,0.0902341857855688,0.195468660417077,0.178247918787326,0.152690342861725,0.136725490554394,1138,134.245003974266,128.350257269304,126.437927337768,136.249435266578,132.691948224078,131.495094262605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,75,10.5409740309753,12.6049880238244,13.9374958473773,14.8790195992245,14.9295115344961,15.0491093558573,1,0.140546320413004,0.0468487734710013,0.108218937356521,0.178247918787326,0.15305586020601,0.161276703586865,701,98.5229706095157,108.384172123042,124.419020567222,126.379407682877,130.999098952748,129.995881297035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1691,119,13.7079307636608,13.7612029828225,13.1285722469157,13.3139812371079,15.3111380798165,15.5200112216926,0,0,0.136979483279633,0.0821876899677801,0.0958374281607726,0.183062898356808,0.149778735019207,802,92.3845417853439,111.855767212571,115.523746692085,121.048706649257,124.48700155898,133.3719873501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,126,17.0347041538315,13.8452759755887,12.9587996742673,14.1842809654793,14.3947098097676,15.3598149077804,2,0.270392129425897,0.0901307098086322,0.108141152036341,0.115824157648413,0.104547260053621,0.162436104889895,1070,144.659789242855,114.950252958882,112.16262906928,116.192270530159,126.160101869018,128.682109239687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693,86,10.793193009274,13.5150311922335,15.0365866901086,14.4497882856413,14.494187558399,14.6688893488557,0,0,0.133386479922901,0.134044556625177,0.115824157648413,0.105555574679606,0.121762435721363,859,107.806427848446,123.301877650513,116.115583825466,121.273302231824,123.162897924094,125.489427336292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,98,12.7171964135949,14.8134328443502,15.3799226409707,15.1915221025399,14.7726569498882,14.2852162222394,1,0.129767310342805,0.133276884566663,0.134044556625177,0.115636264529065,0.134358950665699,0.176959132734074,905,117.439415860239,114.511196033044,131.601120645581,125.099729533294,121.539544388979,122.021638602473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,155,20.9299091101818,16.3572386805826,15.1196039600574,15.5292868220511,14.7811494596468,14.5247560922897,2,0.270063343357184,0.133276884566663,0.107812344455511,0.152669176511184,0.20066712662909,0.197273863577197,876,118.287744390447,135.179795378869,127.730755140972,128.992626729422,123.274450004825,123.601092209144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101573654215612,0,0,0,0,0,0,0
1696,109,15.4246105179712,17.3625434591393,16.1754221182505,14.6125300313328,15.0581569133946,13.9084278106331,0,0,0.136431470644917,0.159658421230478,0.219373144319417,0.225496242104018,0.184496925357833,1200,169.812225885921,137.802643998726,130.09643400293,124.632245573604,129.856055767303,125.279734129091,0,0,0,0,0,0,0,0,0,0,0,0,0.0124145577374637,0.0101573654215612,0,0,0,0,0,0,0
