Term,NObs,FreqObs,Obs.Exp,pValue,PMI_Term,PMI,NPMI,Stopword
tom,125,3.36E-05,0.514403292,7.69E-10,tom,5.135804396,0.340880148,FALSE
cre,44,1.18E-05,0.666666667,0.044760519,cre,5.466254787,0.340763666,FALSE
misery,100,2.69E-05,0.558659218,2.61E-06,misery,5.209644195,0.340567971,FALSE
remembered,52,1.40E-05,0.666666667,0.027943478,remembered,5.418202071,0.340402578,FALSE
depend,96,2.58E-05,0.581818182,2.31E-05,depend,5.227848798,0.340331288,FALSE
capital,110,2.96E-05,0.504587156,2.50E-09,capital,5.155757353,0.340276013,FALSE
caution,73,1.96E-05,0.675925926,0.011290561,caution,5.334770393,0.340254077,FALSE
profit,90,2.42E-05,0.526315789,6.02E-07,profit,5.217280577,0.340200385,FALSE
peter,132,3.55E-05,0.476534296,6.20E-13,peter,5.093831275,0.340128825,FALSE
formerly,149,4.00E-05,0.458461538,4.19E-16,formerly,5.052417714,0.340054189,FALSE
dat,48,1.29E-05,0.592592593,0.004649342,dat,5.40466533,0.340008061,FALSE
improper,58,1.56E-05,0.69047619,0.035535711,improper,5.393245212,0.339891988,FALSE
marble,68,1.83E-05,0.647619048,0.006037255,marble,5.335888839,0.339887454,FALSE
years,586,0.000157507,0.32215503,4.83E-146,years,4.612640617,0.339801166,FALSE
relations,83,2.23E-05,0.55704698,1.75E-05,relations,5.245325792,0.339676254,FALSE
fro,57,1.53E-05,0.670588235,0.023124421,fro,5.387669476,0.339618003,FALSE
burn,78,2.10E-05,0.624,0.00118971,burn,5.288710806,0.339615897,FALSE
deed,125,3.36E-05,0.494071146,4.25E-11,deed,5.110563584,0.339604436,FALSE
unfortunate,80,2.15E-05,0.571428571,6.31E-05,unfortunate,5.256960046,0.339327171,FALSE
eo,90,2.42E-05,0.538922156,1.80E-06,eo,5.21137007,0.339258528,FALSE
suffer,56,1.51E-05,0.674698795,0.027072103,suffer,5.387405231,0.339211853,FALSE
quickly,78,2.10E-05,0.541666667,1.12E-05,quickly,5.248805958,0.339179098,FALSE
double,134,3.60E-05,0.489051095,3.66E-12,double,5.085683333,0.339177297,FALSE
miss,177,4.76E-05,0.438118812,2.09E-21,miss,4.987578344,0.33917614,FALSE
upwards,63,1.69E-05,0.617647059,0.002976708,upwards,5.334390933,0.339097736,FALSE
foe,77,2.07E-05,0.592307692,0.000280947,foe,5.274473541,0.339089799,FALSE
cap,181,4.86E-05,0.444717445,5.59E-21,cap,4.984474377,0.339060641,FALSE
threw,90,2.42E-05,0.592105263,8.11E-05,threw,5.232865089,0.339024725,FALSE
health,141,3.79E-05,0.431192661,4.38E-18,health,5.0389818,0.338988711,FALSE
disposed,86,2.31E-05,0.573333333,3.71E-05,disposed,5.235738764,0.338986004,FALSE
grow,138,3.71E-05,0.456953642,3.75E-15,grow,5.059200141,0.338985278,FALSE
equity,71,1.91E-05,0.612068966,0.001232189,equity,5.299147634,0.338871257,FALSE
key,53,1.42E-05,0.654320988,0.019335763,key,5.391631124,0.338867899,FALSE
believing,61,1.64E-05,0.663043478,0.015019229,believing,5.358667309,0.338842958,FALSE
children,361,9.70E-05,0.373319545,3.59E-64,children,4.762713662,0.338828102,FALSE
making,290,7.79E-05,0.387700535,3.29E-47,making,4.826718615,0.338724934,FALSE
contra,82,2.20E-05,0.543046358,7.26E-06,contra,5.22943309,0.338595096,FALSE
lit,148,3.98E-05,0.452599388,1.38E-16,lit,5.033069557,0.338479726,FALSE
miserable,93,2.50E-05,0.62,0.000309263,miserable,5.230024387,0.338459318,FALSE
confusion,95,2.55E-05,0.530726257,4.36E-07,confusion,5.185864921,0.338447487,FALSE
hey,48,1.29E-05,0.64,0.018692453,hey,5.406351327,0.338407872,FALSE
term,182,4.89E-05,0.40990991,3.24E-26,term,4.954820286,0.338372078,FALSE
neck,93,2.50E-05,0.486910995,6.15E-09,neck,5.168001081,0.338367902,FALSE
li,335,9.00E-05,0.339756592,1.17E-74,li,4.75223318,0.33829538,FALSE
